"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","test_invalid_connection","tests.integration_tests","Sat Jan 31 16:42:33 UTC 2026","passed","Sat Jan 31 16:42:33 UTC 2026","","test_api","",""
"","3","test_websocket_invalid_first_message","tests.integration_tests","Sat Jan 31 16:42:34 UTC 2026","passed","Sat Jan 31 16:42:34 UTC 2026","","test_websocket","",""
"","315","test_write_registers","tests.integration_tests","Sat Jan 31 16:42:33 UTC 2026","passed","Sat Jan 31 16:42:33 UTC 2026","","test_api","",""
"","109","test_websocket_monitor","tests.integration_tests","Sat Jan 31 16:42:33 UTC 2026","passed","Sat Jan 31 16:42:33 UTC 2026","","test_websocket","",""
"","1113","test_websocket_write_through_monitor","tests.integration_tests","Sat Jan 31 16:42:33 UTC 2026","passed","Sat Jan 31 16:42:34 UTC 2026","","test_websocket","",""
"","171","test_read_registers","tests.integration_tests","Sat Jan 31 16:42:33 UTC 2026","passed","Sat Jan 31 16:42:33 UTC 2026","","test_api","",""
