"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","test_write_registers","tests.integration_tests","Wed Jan 14 19:14:41 UTC 2026","passed","Wed Jan 14 19:14:41 UTC 2026","","test_api","",""
"","1112","test_websocket_write_through_monitor","tests.integration_tests","Wed Jan 14 19:14:41 UTC 2026","passed","Wed Jan 14 19:14:42 UTC 2026","","test_websocket","",""
"","109","test_websocket_monitor","tests.integration_tests","Wed Jan 14 19:14:41 UTC 2026","passed","Wed Jan 14 19:14:41 UTC 2026","","test_websocket","",""
"","102","test_invalid_connection","tests.integration_tests","Wed Jan 14 19:14:41 UTC 2026","passed","Wed Jan 14 19:14:41 UTC 2026","","test_api","",""
"","3","test_websocket_invalid_first_message","tests.integration_tests","Wed Jan 14 19:14:42 UTC 2026","passed","Wed Jan 14 19:14:42 UTC 2026","","test_websocket","",""
"","137","test_read_registers","tests.integration_tests","Wed Jan 14 19:14:41 UTC 2026","passed","Wed Jan 14 19:14:41 UTC 2026","","test_api","",""
