"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","test_write_registers","tests.integration_tests","Sat Jan 03 17:20:13 UTC 2026","passed","Sat Jan 03 17:20:13 UTC 2026","","test_api","",""
"","104","test_invalid_connection","tests.integration_tests","Sat Jan 03 17:20:13 UTC 2026","passed","Sat Jan 03 17:20:13 UTC 2026","","test_api","",""
"","4","test_websocket_invalid_first_message","tests.integration_tests","Sat Jan 03 17:20:15 UTC 2026","passed","Sat Jan 03 17:20:15 UTC 2026","","test_websocket","",""
"","1110","test_websocket_write_through_monitor","tests.integration_tests","Sat Jan 03 17:20:13 UTC 2026","passed","Sat Jan 03 17:20:15 UTC 2026","","test_websocket","",""
"","109","test_read_registers","tests.integration_tests","Sat Jan 03 17:20:13 UTC 2026","passed","Sat Jan 03 17:20:13 UTC 2026","","test_api","",""
"","108","test_websocket_monitor","tests.integration_tests","Sat Jan 03 17:20:13 UTC 2026","passed","Sat Jan 03 17:20:13 UTC 2026","","test_websocket","",""
