"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","test_invalid_connection","tests.integration_tests","Sat Jan 31 17:26:13 UTC 2026","passed","Sat Jan 31 17:26:13 UTC 2026","","test_api","",""
"","3","test_websocket_invalid_first_message","tests.integration_tests","Sat Jan 31 17:26:14 UTC 2026","passed","Sat Jan 31 17:26:14 UTC 2026","","test_websocket","",""
"","317","test_write_registers","tests.integration_tests","Sat Jan 31 17:26:12 UTC 2026","passed","Sat Jan 31 17:26:13 UTC 2026","","test_api","",""
"","111","test_websocket_monitor","tests.integration_tests","Sat Jan 31 17:26:13 UTC 2026","passed","Sat Jan 31 17:26:13 UTC 2026","","test_websocket","",""
"","121","test_read_registers","tests.integration_tests","Sat Jan 31 17:26:12 UTC 2026","passed","Sat Jan 31 17:26:12 UTC 2026","","test_api","",""
"","1340","test_websocket_write_through_monitor","tests.integration_tests","Sat Jan 31 17:26:13 UTC 2026","passed","Sat Jan 31 17:26:14 UTC 2026","","test_websocket","",""
