"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139","test_websocket_monitor","tests.integration_tests","Sun Jan 18 14:26:25 UTC 2026","passed","Sun Jan 18 14:26:25 UTC 2026","","test_websocket","",""
"","1116","test_websocket_write_through_monitor","tests.integration_tests","Sun Jan 18 14:26:25 UTC 2026","passed","Sun Jan 18 14:26:26 UTC 2026","","test_websocket","",""
"","129","test_read_registers","tests.integration_tests","Sun Jan 18 14:26:24 UTC 2026","passed","Sun Jan 18 14:26:24 UTC 2026","","test_api","",""
"","315","test_write_registers","tests.integration_tests","Sun Jan 18 14:26:24 UTC 2026","passed","Sun Jan 18 14:26:25 UTC 2026","","test_api","",""
"","3","test_websocket_invalid_first_message","tests.integration_tests","Sun Jan 18 14:26:26 UTC 2026","passed","Sun Jan 18 14:26:26 UTC 2026","","test_websocket","",""
"","104","test_invalid_connection","tests.integration_tests","Sun Jan 18 14:26:25 UTC 2026","passed","Sun Jan 18 14:26:25 UTC 2026","","test_api","",""
