"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","108","test_read_registers","tests.integration_tests","Sat Jan 03 16:52:57 UTC 2026","passed","Sat Jan 03 16:52:57 UTC 2026","","test_api","",""
"","108","test_websocket_monitor","tests.integration_tests","Sat Jan 03 16:52:57 UTC 2026","passed","Sat Jan 03 16:52:57 UTC 2026","","test_websocket","",""
"","313","test_write_registers","tests.integration_tests","Sat Jan 03 16:52:57 UTC 2026","passed","Sat Jan 03 16:52:57 UTC 2026","","test_api","",""
"","3","test_websocket_invalid_first_message","tests.integration_tests","Sat Jan 03 16:52:58 UTC 2026","passed","Sat Jan 03 16:52:58 UTC 2026","","test_websocket","",""
"","1108","test_websocket_write_through_monitor","tests.integration_tests","Sat Jan 03 16:52:57 UTC 2026","passed","Sat Jan 03 16:52:58 UTC 2026","","test_websocket","",""
"","103","test_invalid_connection","tests.integration_tests","Sat Jan 03 16:52:57 UTC 2026","passed","Sat Jan 03 16:52:57 UTC 2026","","test_api","",""
