"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","test_write_registers","tests.integration_tests","Sun Jan 18 14:34:25 UTC 2026","passed","Sun Jan 18 14:34:25 UTC 2026","","test_api","",""
"","118","test_read_registers","tests.integration_tests","Sun Jan 18 14:34:25 UTC 2026","passed","Sun Jan 18 14:34:25 UTC 2026","","test_api","",""
"","1112","test_websocket_write_through_monitor","tests.integration_tests","Sun Jan 18 14:34:25 UTC 2026","passed","Sun Jan 18 14:34:26 UTC 2026","","test_websocket","",""
"","102","test_invalid_connection","tests.integration_tests","Sun Jan 18 14:34:25 UTC 2026","passed","Sun Jan 18 14:34:25 UTC 2026","","test_api","",""
"","107","test_websocket_monitor","tests.integration_tests","Sun Jan 18 14:34:25 UTC 2026","passed","Sun Jan 18 14:34:25 UTC 2026","","test_websocket","",""
"","3","test_websocket_invalid_first_message","tests.integration_tests","Sun Jan 18 14:34:26 UTC 2026","passed","Sun Jan 18 14:34:26 UTC 2026","","test_websocket","",""
